Facility,Level,Commodity,Flow
m1,l2,"('l1', 'k1')",47.065035
m2,l2,"('l1', 'k2')",64.837481
m3,l2,"('l2', 'k3')",82.099891
m4,l2,"('l2', 'k4')",55.556717
m5,l2,"('l1', 'k5')",55.055077
m5,l2,"('l2', 'k5')",4.4071007
