Facility,Time,Commodity,Flow
m3,1,"('l1', 'k2')",14.4239
m3,1,"('l1', 'k4')",13.962256
m3,1,"('l1', 'k5')",2.112656
m3,1,"('l2', 'k4')",8.6671955
m3,1,"('l2', 'k5')",10.833993
m3,2,"('l1', 'k1')",10.569882
m3,2,"('l1', 'k4')",6.2807294
m3,2,"('l2', 'k1')",10.942625
m3,2,"('l2', 'k2')",20.085058
m3,2,"('l2', 'k5')",2.1217047
m8,1,"('l1', 'k1')",12.080076
m8,1,"('l1', 'k2')",2.8387597
m8,1,"('l1', 'k3')",4.7454123
m8,1,"('l1', 'k5')",9.6157859
m8,1,"('l2', 'k3')",9.202944
m8,1,"('l2', 'k5')",11.517022
m8,2,"('l1', 'k2')",14.861278
m8,2,"('l1', 'k4')",13.476787
m8,2,"('l2', 'k2')",13.600214
m8,2,"('l2', 'k4')",8.0617213
m10,1,"('l1', 'k1')",6.7092751
m10,1,"('l1', 'k2')",9.9389575
m10,1,"('l1', 'k3')",12.114025
m10,1,"('l2', 'k2')",8.8954833
m10,1,"('l2', 'k5')",12.342259
m10,2,"('l1', 'k2')",7.4111958
m10,2,"('l1', 'k5')",7.2492836
m10,2,"('l2', 'k3')",17.869673
m10,2,"('l2', 'k4')",17.469848
