Type,Facility,Time,Commodity,Flow
k1,m1,1,"('l1', 'k1')",57.342986
k1,m1,1,"('l2', 'k1')",42.657014
k1,m1,2,"('l1', 'k1')",9.3567937
k1,m1,2,"('l2', 'k1')",90.643206
k2,m2,1,"('l1', 'k2')",64.633226
k2,m2,1,"('l2', 'k2')",35.366774
k2,m2,2,"('l1', 'k2')",14.731557
k2,m2,2,"('l2', 'k2')",85.268443
k3,m3,1,"('l1', 'k3')",86.568539
k3,m3,1,"('l2', 'k3')",13.431461
k3,m3,2,"('l1', 'k3')",5.9681013
k3,m3,2,"('l2', 'k3')",94.031899
k4,m4,1,"('l1', 'k4')",35.129521
k4,m4,1,"('l2', 'k4')",64.870479
k4,m4,2,"('l1', 'k4')",48.036806
k4,m4,2,"('l2', 'k4')",51.963194
k5,m5,1,"('l1', 'k5')",65.198621
k5,m5,1,"('l2', 'k5')",34.801379
k5,m5,2,"('l1', 'k5')",5.6721709
k5,m5,2,"('l2', 'k5')",94.327829
