Facility,Level,Time_From,Time_To,Commodity,Flow
m1,l2,1,2,"('l2', 'k1')",63.541761
m2,l2,1,2,"('l2', 'k2')",57.170329
m3,l2,1,2,"('l1', 'k3')",58.215158
m4,l2,1,2,"('l1', 'k4')",49.484488
m5,l2,1,2,"('l2', 'k5')",78.853961
m6,l1,1,2,"('l1', 'k2')",12.795984
m6,l1,1,2,"('l1', 'k3')",0.34354578
m6,l1,1,2,"('l1', 'k4')",8.0900035
m7,l1,1,2,"('l2', 'k2')",0.79347354
m7,l1,1,2,"('l2', 'k3')",8.542983
m8,l1,1,2,"('l2', 'k2')",7.6849889
m8,l1,1,2,"('l2', 'k3')",10.826938
m8,l1,1,2,"('l2', 'k5')",4.7499687
