Type,Facility,Time,Commodity,Flow
k1,m1,1,"('l1', 'k1')",89.061284
k1,m1,1,"('l2', 'k1')",10.938716
k1,m1,2,"('l1', 'k1')",13.91322
k1,m1,2,"('l2', 'k1')",86.08678
k2,m2,1,"('l1', 'k2')",73.582736
k2,m2,1,"('l2', 'k2')",26.417264
k2,m2,2,"('l1', 'k2')",11.038045
k2,m2,2,"('l2', 'k2')",88.961955
k3,m3,1,"('l1', 'k3')",15.39486
k3,m3,1,"('l2', 'k3')",84.60514
k3,m3,2,"('l1', 'k3')",66.810237
k3,m3,2,"('l2', 'k3')",33.189763
k4,m4,1,"('l1', 'k4')",20.375471
k4,m4,1,"('l2', 'k4')",79.624529
k4,m4,2,"('l1', 'k4')",64.150585
k4,m4,2,"('l2', 'k4')",35.849415
k5,m5,1,"('l1', 'k5')",97.83227
k5,m5,1,"('l2', 'k5')",2.1677296
k5,m5,2,"('l1', 'k5')",9.5697913
k5,m5,2,"('l2', 'k5')",90.430209
