Facility,Level,Time,Commodity,Flow
m1,l2,1,"('l1', 'k1')",89.061284
m1,l2,1,"('l2', 'k1')",74.480477
m1,l2,2,"('l1', 'k1')",13.91322
m1,l2,2,"('l2', 'k1')",22.545019
m2,l2,1,"('l1', 'k2')",73.582736
m2,l2,1,"('l2', 'k2')",83.587594
m2,l2,2,"('l1', 'k2')",11.038045
m2,l2,2,"('l2', 'k2')",31.791625
m3,l2,1,"('l1', 'k3')",73.610018
m3,l2,1,"('l2', 'k3')",84.60514
m3,l2,2,"('l1', 'k3')",8.5950784
m3,l2,2,"('l2', 'k3')",33.189763
m4,l2,1,"('l1', 'k4')",69.859959
m4,l2,1,"('l2', 'k4')",79.624529
m4,l2,2,"('l1', 'k4')",14.666097
m4,l2,2,"('l2', 'k4')",35.849415
m5,l2,1,"('l1', 'k5')",97.83227
m5,l2,1,"('l2', 'k5')",81.02169
m5,l2,2,"('l1', 'k5')",9.5697913
m5,l2,2,"('l2', 'k5')",11.576248
m6,l1,1,"('l1', 'k2')",12.795984
m6,l1,1,"('l1', 'k3')",11.103282
m6,l1,1,"('l1', 'k4')",8.0900035
m6,l1,2,"('l1', 'k3')",14.234968
m6,l1,2,"('l1', 'k4')",14.535498
m7,l1,1,"('l1', 'k1')",10.003559
m7,l1,1,"('l1', 'k2')",12.16071
m7,l1,1,"('l1', 'k3')",10.259559
m7,l1,1,"('l1', 'k4')",5.0139902
m8,l1,1,"('l1', 'k2')",11.472908
m8,l1,1,"('l1', 'k3')",10.239868
m8,l1,1,"('l1', 'k4')",6.7314991
m8,l1,2,"('l1', 'k2')",9.1077067
