Facility,Level,Time_From,Time_To,Commodity,Flow
m1,l2,1,2,"('l2', 'k1')",64.722632
m2,l2,1,2,"('l2', 'k2')",61.55052
m3,l2,1,2,"('l2', 'k3')",43.39108
m4,l2,1,2,"('l1', 'k4')",77.949962
m5,l2,1,2,"('l1', 'k5')",78.853961
m6,l1,1,2,"('l1', 'k2')",8.9864681
m7,l1,1,2,"('l1', 'k1')",5.0480627
m7,l1,1,2,"('l1', 'k4')",5.0139902
m8,l1,1,2,"('l1', 'k5')",4.7499687
m8,l1,1,2,"('l2', 'k3')",10.826938
