Facility,Level,Time,Commodity,Flow
m1,l2,1,"('l1', 'k1')",89.061284
m1,l2,1,"('l2', 'k1')",75.661347
m1,l2,2,"('l1', 'k1')",13.91322
m1,l2,2,"('l2', 'k1')",21.364149
m2,l2,1,"('l1', 'k2')",73.410829
m2,l2,1,"('l2', 'k2')",88.139691
m2,l2,2,"('l1', 'k2')",11.038045
m2,l2,2,"('l2', 'k2')",27.411435
m3,l2,1,"('l1', 'k3')",73.610018
m3,l2,1,"('l2', 'k3')",69.781062
m3,l2,2,"('l1', 'k3')",18.19745
m3,l2,2,"('l2', 'k3')",38.41147
m4,l2,1,"('l1', 'k4')",77.949962
m4,l2,1,"('l2', 'k4')",100.0
m4,l2,2,"('l1', 'k4')",14.666097
m4,l2,2,"('l2', 'k4')",7.3839406
m5,l2,1,"('l1', 'k5')",93.082302
m5,l2,1,"('l2', 'k5')",85.771659
m5,l2,2,"('l1', 'k5')",9.5697913
m5,l2,2,"('l2', 'k5')",11.576248
m6,l1,1,"('l1', 'k2')",12.795984
m6,l1,1,"('l1', 'k3')",11.103282
m6,l1,2,"('l1', 'k3')",14.234968
m6,l1,2,"('l1', 'k4')",14.535498
m7,l1,1,"('l1', 'k1')",10.003559
m7,l1,1,"('l1', 'k2')",12.16071
m7,l1,1,"('l1', 'k3')",10.259559
m7,l1,1,"('l1', 'k4')",5.0139902
m7,l1,2,"('l1', 'k3')",4.8323989
m7,l1,2,"('l1', 'k4')",5.2654464
m8,l1,1,"('l1', 'k2')",11.644814
m8,l1,1,"('l1', 'k3')",10.239868
m8,l1,1,"('l1', 'k4')",6.7314991
m8,l1,1,"('l1', 'k5')",4.7499687
m8,l1,2,"('l1', 'k2')",9.1077067
